experiment_id,dataset_size,extreme_value_ratio,repetition,final_bias,training_iterations,convergence_status,execution_time,dataset_mean,extreme_value_count,iqr_threshold,statistical_validation_passed,final_weight_0,training_final_loss,training_final_mae,training_initial_loss,training_loss_improvement,training_initial_weight,training_final_weight,training_weight_change,training_weight_std
exp_10_00_01,10,0.0,1,0.4689895510673523,50,converged,3.202263355255127,4.999999999999999,3,7.861018487498313,True,2.080583095550537,0.07026244699954987,0.22101807594299316,158.15884399414062,158.08858154714108,1.4172745943069458,2.080583095550537,0.6633085012435913,0.09823257476091385
exp_10_00_02,10,0.0,2,0.4463701546192169,50,converged,3.0088798999786377,5.000000000000001,0,3.554129333068342,True,2.101020336151123,0.027859047055244446,0.12958483397960663,137.98138427734375,137.9535252302885,1.1735695600509644,2.101020336151123,0.9274507761001587,0.14209701120853424
exp_10_00_03,10,0.0,3,0.46279022097587585,50,converged,3.001530170440674,5.0,1,6.931152695651915,True,2.084625482559204,0.06334386765956879,0.22116093337535858,152.19027709960938,152.1269332319498,1.3693104982376099,2.084625482559204,0.7153149843215942,0.10652939975261688
exp_10_00_04,10,0.0,4,0.4381759464740753,50,converged,3.016636848449707,5.0,1,4.263634121435123,True,2.0992915630340576,0.03804835304617882,0.15587325394153595,131.56637573242188,131.5283273793757,1.2470893859863281,2.0992915630340576,0.8522021770477295,0.12969912588596344
exp_10_00_05,10,0.0,5,0.44468313455581665,50,converged,3.099061965942383,5.0,1,3.0041150483519234,True,2.0991883277893066,0.03417014330625534,0.14232344925403595,136.84632873535156,136.8121585920453,1.2117462158203125,2.0991883277893066,0.8874421119689941,0.1353447586297989
exp_10_00_06,10,0.0,6,0.4228801429271698,50,converged,2.9210562705993652,5.0,0,1.266523334945461,True,2.1098005771636963,0.01684705540537834,0.09243988990783691,121.2803955078125,121.26354845240712,1.1740483045578003,2.1098005771636963,0.935752272605896,0.14476028084754944
exp_10_00_07,10,0.0,7,0.4276202619075775,50,converged,3.139866352081299,4.999999999999999,0,1.9011261824102097,True,2.1065242290496826,0.02361113391816616,0.11020050197839737,124.32186126708984,124.29825013317168,1.1948977708816528,2.1065242290496826,0.9116264581680298,0.14031746983528137
exp_10_00_08,10,0.0,8,0.424600213766098,50,converged,2.9753000736236572,5.0,0,4.271583844977073,True,2.1032633781433105,0.03523608297109604,0.1680946797132492,121.4609375,121.4257014170289,1.2606714963912964,2.1032633781433105,0.8425918817520142,0.12868039309978485
exp_10_00_09,10,0.0,9,0.4586586356163025,50,converged,2.966137170791626,5.000000000000002,2,5.926911190945468,True,2.088258743286133,0.05601267144083977,0.19767963886260986,148.66009521484375,148.6040825434029,1.321996808052063,2.088258743286133,0.7662619352340698,0.11477641761302948
exp_10_00_10,10,0.0,10,0.45364701747894287,50,converged,2.992267370223999,5.000000000000002,1,5.3921364252609285,True,2.089634656906128,0.055482167750597,0.18380403518676758,143.7509307861328,143.69544861838222,1.3258860111236572,2.089634656906128,0.7637486457824707,0.11454852670431137
exp_10_25_01,10,0.25,1,0.46952107548713684,50,converged,3.0395374298095703,5.0,2,6.932227026060415,True,2.0805130004882812,0.07009293138980865,0.20981252193450928,158.8253936767578,158.755300745368,1.4155044555664062,2.0805130004882812,0.665008544921875,0.09848179668188095
exp_10_25_02,10,0.25,2,0.4476650655269623,50,converged,3.0259621143341064,5.0,2,4.551201063955177,True,2.0891385078430176,0.060905903577804565,0.2000264823436737,137.11297607421875,137.05207017064095,1.371362328529358,2.0891385078430176,0.7177761793136597,0.10739052295684814
exp_10_25_03,10,0.25,3,0.4623057246208191,50,converged,3.0897600650787354,5.0,3,6.94080077508826,True,2.083968162536621,0.06548752635717392,0.20127920806407928,151.33480834960938,151.2693208232522,1.3859399557113647,2.083968162536621,0.6980282068252563,0.10382472723722458
exp_10_25_04,10,0.25,4,0.48846662044525146,50,converged,2.985341787338257,5.000000000000001,2,10.41288531899138,True,2.06765079498291,0.09142286330461502,0.2714780867099762,178.94070434570312,178.8492814823985,1.6180692911148071,2.06765079498291,0.449581503868103,0.06593040376901627
exp_10_25_05,10,0.25,5,0.4504172205924988,50,converged,2.972291946411133,4.999999999999999,2,4.420211873188316,True,2.091935873031616,0.05112577602267265,0.17613595724105835,141.1228485107422,141.07172273471951,1.302394151687622,2.091935873031616,0.7895417213439941,0.11884299665689468
exp_10_25_06,10,0.25,6,0.45056116580963135,50,converged,3.090492010116577,5.0,1,3.926035428651765,True,2.0916762351989746,0.051766086369752884,0.17825299501419067,141.1976318359375,141.14586574956775,1.3062859773635864,2.0916762351989746,0.7853902578353882,0.11816219985485077
exp_10_25_07,10,0.25,7,0.47120240330696106,50,converged,3.055706262588501,4.999999999999999,1,7.351102395825639,True,2.0793845653533936,0.07202325016260147,0.2324279099702835,160.5074005126953,160.4353772625327,1.4302648305892944,2.0793845653533936,0.6491197347640991,0.09598777443170547
exp_10_25_08,10,0.25,8,0.4716966152191162,50,converged,3.009040117263794,4.978105062522798,3,8.38183461896757,True,2.075831413269043,0.08225007355213165,0.24966053664684296,155.6239776611328,155.54172758758068,1.5086777210235596,2.075831413269043,0.5671536922454834,0.08358819037675858
exp_10_25_09,10,0.25,9,0.46252718567848206,50,converged,3.0106163024902344,5.0,2,6.345129008816176,True,2.0812482833862305,0.0728548988699913,0.24539652466773987,150.00201416015625,149.92915926128626,1.4428353309631348,2.0812482833862305,0.6384129524230957,0.09455273300409317
